year.x	author.x	title.x	filename.x	year.y	author.y	title.y	filename.y	same.author	train.or.test	case.id	answer	author.seen
1874	amd	sd	1874-amd-sd	1893	lma	ct	1893-lma-ct	FALSE	train	1874-amd-sd 1893-lma-ct	0	TRUE
1866	sw	twwfe	1866-sw-twwfe	1866	wta	haw	1866-wta-haw	FALSE	train	1866-sw-twwfe 1866-wta-haw	0	TRUE
1900	ga	sn	1900-ga-sn	1909	amd	hgt	1909-amd-hgt	FALSE	train	1900-ga-sn 1909-amd-hgt	0	TRUE
1852	tsa	hhalp	1852-tsa-hhalp	1920	rwc	tlrf	1920-rwc-tlrf	FALSE	train	1852-tsa-hhalp 1920-rwc-tlrf	0	TRUE
1876	amd	nkk	1876-amd-nkk	1913	amd	trhcag	1913-amd-trhcag	TRUE	train	1876-amd-nkk 1913-amd-trhcag	1	TRUE
1896	wdh	tlatlh	1896-wdh-tlatlh	1906	es	ha	1906-es-ha	FALSE	train	1896-wdh-tlatlh 1906-es-ha	0	TRUE
1863	mh	h-ia	1863-mh-h-ia	1868	sw	d	1868-sw-d	FALSE	train	1863-mh-h-ia 1868-sw-d	0	TRUE
1864	sw	mh	1864-sw-mh	1871	sw	o	1871-sw-o	TRUE	train	1864-sw-mh 1871-sw-o	1	TRUE
1868	amd	sa	1868-amd-sa	1917	ga	tlp	1917-ga-tlp	FALSE	train	1868-amd-sa 1917-ga-tlp	0	TRUE
1872	sw	t	1872-sw-t	1901	rwc	c	1901-rwc-c	FALSE	train	1872-sw-t 1901-rwc-c	0	TRUE
1876	sw	wh-c	1876-sw-wh-c	1881	sw	aloc	1881-sw-aloc	TRUE	train	1876-sw-wh-c 1881-sw-aloc	1	TRUE
1895	wdh	mlp	1895-wdh-mlp	1907	wdh	btdatd	1907-wdh-btdatd	TRUE	train	1895-wdh-mlp 1907-wdh-btdatd	1	TRUE
1897	mt	fte	1897-mt-fte	1899	amd	thos	1899-amd-thos	FALSE	train	1897-mt-fte 1899-amd-thos	0	TRUE
1902	amd	algiod	1902-amd-algiod	1908	amd	algios	1908-amd-algios	TRUE	train	1902-amd-algiod 1908-amd-algios	1	TRUE
1854	lma	ff	1854-lma-ff	1909	wdh	sec	1909-wdh-sec	FALSE	train	1854-lma-ff 1909-wdh-sec	0	TRUE
1856	sw	hots	1856-sw-hots	1870	sw	wsc	1870-sw-wsc	TRUE	train	1856-sw-hots 1870-sw-wsc	1	TRUE
1889	lma	ll-v3	1889-lma-ll-v3	1894	mh	mwws	1894-mh-mwws	FALSE	train	1889-lma-ll-v3 1894-mh-mwws	0	TRUE
1881	sw	aloc	1881-sw-aloc	1919	rwc	tct	1919-rwc-tct	FALSE	train	1881-sw-aloc 1919-rwc-tct	0	TRUE
1917	rwc	trs	1917-rwc-trs	1920	rwc	tlrf	1920-rwc-tlrf	TRUE	train	1917-rwc-trs 1920-rwc-tlrf	1	TRUE
1890	amd	algiop	1890-amd-algiop	1893	amd	itkc	1893-amd-itkc	TRUE	train	1890-amd-algiop 1893-amd-itkc	1	TRUE
1859	tsa	lg	1859-tsa-lg	1868	tsa	ats	1868-tsa-ats	TRUE	train	1859-tsa-lg 1868-tsa-ats	1	TRUE
1885	wdh	is	1885-wdh-is	1903	amd	hbkh	1903-amd-hbkh	FALSE	train	1885-wdh-is 1903-amd-hbkh	0	TRUE
1883	amd	fgh	1883-amd-fgh	1911	hm	tcfb	1911-hm-tcfb	FALSE	train	1883-amd-fgh 1911-hm-tcfb	0	TRUE
1855	tsa	tgtc	1855-tsa-tgtc	1866	wta	hah	1866-wta-hah	FALSE	train	1855-tsa-tgtc 1866-wta-hah	0	TRUE
1897	ga	psaht	1897-ga-psaht	1917	ga	tlp	1917-ga-tlp	TRUE	train	1897-ga-psaht 1917-ga-tlp	1	TRUE
1907	mt	cfma	1907-mt-cfma	1922	hm	tre-ia	1922-hm-tre-ia	FALSE	train	1907-mt-cfma 1922-hm-tre-ia	0	TRUE
1852	tsa	ml	1852-tsa-ml	1856	tsa	woc	1856-tsa-woc	TRUE	train	1852-tsa-ml 1856-tsa-woc	1	TRUE
1867	wdh	vl	1867-wdh-vl	1873	wdh	aca	1873-wdh-aca	TRUE	train	1867-wdh-vl 1873-wdh-aca	1	TRUE
1851	tsa	lilfawwrt	1851-tsa-lilfawwrt	1853	tsa	tirotith	1853-tsa-tirotith	TRUE	train	1851-tsa-lilfawwrt 1853-tsa-tirotith	1	TRUE
1870	amd	ktw	1870-amd-ktw	1909	amd	hgt	1909-amd-hgt	TRUE	train	1870-amd-ktw 1909-amd-hgt	1	TRUE
1887	es	mim	1887-es-mim	1902	rwc	tmop	1902-rwc-tmop	FALSE	train	1887-es-mim 1902-rwc-tmop	0	TRUE
1890	wdh	abt	1890-wdh-abt	1909	wdh	sec	1909-wdh-sec	TRUE	train	1890-wdh-abt 1909-wdh-sec	1	TRUE
1868	wta	fof	1868-wta-fof	1894	cfw	hc	1894-cfw-hc	FALSE	train	1868-wta-fof 1894-cfw-hc	0	TRUE
1868	sw	ditf	1868-sw-ditf	1889	wdh	ahonf-v2	1889-wdh-ahonf-v2	FALSE	train	1868-sw-ditf 1889-wdh-ahonf-v2	0	TRUE
1903	wdh	qs	1903-wdh-qs	1907	wdh	btdatd	1907-wdh-btdatd	TRUE	train	1903-wdh-qs 1907-wdh-btdatd	1	TRUE
1870	amd	wfah	1870-amd-wfah	1883	amd	wkm	1883-amd-wkm	TRUE	train	1870-amd-wfah 1883-amd-wkm	1	TRUE
1871	sw	thit	1871-sw-thit	1894	mt	tsa	1894-mt-tsa	FALSE	train	1871-sw-thit 1894-mt-tsa	0	TRUE
1856	tsa	fan	1856-tsa-fan	1871	wta	nl	1871-wta-nl	FALSE	train	1856-tsa-fan 1871-wta-nl	0	TRUE
1867	amd	sd	1867-amd-sd	1886	amd	fohh	1886-amd-fohh	TRUE	train	1867-amd-sd 1886-amd-fohh	1	TRUE
1852	tsa	ml	1852-tsa-ml	1897	mt	fte	1897-mt-fte	FALSE	train	1852-tsa-ml 1897-mt-fte	0	TRUE
1884	es	b	1884-es-b	1905	amd	algiosf	1905-amd-algiosf	FALSE	train	1884-es-b 1905-amd-algiosf	0	TRUE
1899	wdh	arl	1899-wdh-arl	1908	wdh	far	1908-wdh-far	TRUE	train	1899-wdh-arl 1908-wdh-far	1	TRUE
1867	wta	saf	1867-wta-saf	1888	es	e	1888-es-e	FALSE	train	1867-wta-saf 1888-es-e	0	TRUE
1854	mh	a	1854-mh-a	1896	mh	tsoahh	1896-mh-tsoahh	TRUE	train	1854-mh-a 1896-mh-tsoahh	1	TRUE
1879	wdh	tlofa	1879-wdh-tlofa	1892	wdh	tqom	1892-wdh-tqom	TRUE	train	1879-wdh-tlofa 1892-wdh-tqom	1	TRUE
1866	wta	haw	1866-wta-haw	1920	hm	tpm	1920-hm-tpm	FALSE	train	1866-wta-haw 1920-hm-tpm	0	TRUE
1870	wta	pap	1870-wta-pap	1879	amd	hm	1879-amd-hm	FALSE	train	1870-wta-pap 1879-amd-hm	0	TRUE
1871	sw	thit	1871-sw-thit	1894	mt	tet	1894-mt-tet	FALSE	train	1871-sw-thit 1894-mt-tet	0	TRUE
1852	tsa	trowww	1852-tsa-trowww	1872	tsa	tyiamt	1872-tsa-tyiamt	TRUE	train	1852-tsa-trowww 1872-tsa-tyiamt	1	TRUE
1879	amd	hm	1879-amd-hm	1883	amd	wkm	1883-amd-wkm	TRUE	train	1879-amd-hm 1883-amd-wkm	1	TRUE
1881	wdh	ami	1881-wdh-ami	1896	wdh	tlatlh	1896-wdh-tlatlh	TRUE	train	1881-wdh-ami 1896-wdh-tlatlh	1	TRUE
1870	amd	ktw	1870-amd-ktw	1900	amd	algiow	1900-amd-algiow	TRUE	train	1870-amd-ktw 1900-amd-algiow	1	TRUE
1893	ga	td	1893-ga-td	1897	wdh	soo	1897-wdh-soo	FALSE	train	1893-ga-td 1897-wdh-soo	0	TRUE
1852	sw	q	1852-sw-q	1906	amd	ael	1906-amd-ael	FALSE	train	1852-sw-q 1906-amd-ael	0	TRUE
1895	cfw	daois	1895-cfw-daois	1908	wdh	far	1908-wdh-far	FALSE	train	1895-cfw-daois 1908-wdh-far	0	TRUE
1874	amd	sd	1874-amd-sd	1893	amd	itkc	1893-amd-itkc	TRUE	train	1874-amd-sd 1893-amd-itkc	1	TRUE
1897	amd	ha	1897-amd-ha	1905	ga	ttt	1905-ga-ttt	FALSE	train	1897-amd-ha 1905-ga-ttt	0	TRUE
1864	sw	mh-v2	1864-sw-mh-v2	1872	sw	t	1872-sw-t	TRUE	train	1864-sw-mh-v2 1872-sw-t	1	TRUE
1854	tsa	tniabr	1854-tsa-tniabr	1890	tsa	absal	1890-tsa-absal	TRUE	train	1854-tsa-tniabr 1890-tsa-absal	1	TRUE
1868	tsa	ats	1868-tsa-ats	1886	wdh	tmc	1886-wdh-tmc	FALSE	train	1868-tsa-ats 1886-wdh-tmc	0	TRUE
1847	tsa	tm-ia	1847-tsa-tm-ia	1852	tsa	hhalp	1852-tsa-hhalp	TRUE	train	1847-tsa-tm-ia 1852-tsa-hhalp	1	TRUE
1856	tsa	fan	1856-tsa-fan	1893	ga	td	1893-ga-td	FALSE	train	1856-tsa-fan 1893-ga-td	0	TRUE
