year.x	author.x	title.x	filename.x	year.y	author.y	title.y	filename.y	same.author	train.or.test	case.id	answer	author.seen
1891	es	mm	1891-es-mm	1920	rwc	tlrf	1920-rwc-tlrf	FALSE	train	1891-es-mm 1920-rwc-tlrf	0	TRUE
1916	ga	mb	1916-ga-mb	1897	ga	psaht	1897-ga-psaht	TRUE	train	1916-ga-mb 1897-ga-psaht	1	TRUE
1907	wdh	tteotn	1907-wdh-tteotn	1873	wdh	aca	1873-wdh-aca	TRUE	train	1907-wdh-tteotn 1873-wdh-aca	1	TRUE
1854	tsa	tniabr	1854-tsa-tniabr	1851	tsa	wt	1851-tsa-wt	TRUE	train	1854-tsa-tniabr 1851-tsa-wt	1	TRUE
1905	amd	hgaah	1905-amd-hgaah	1900	amd	algiow	1900-amd-algiow	TRUE	train	1905-amd-hgaah 1900-amd-algiow	1	TRUE
1920	hm	tpm	1920-hm-tpm	1915	hm	tmdm	1915-hm-tmdm	TRUE	train	1920-hm-tpm 1915-hm-tmdm	1	TRUE
1877	cdw	bab	1877-cdw-bab	1851	tsa	tlasorl	1851-tsa-tlasorl	FALSE	train	1877-cdw-bab 1851-tsa-tlasorl	0	TRUE
1870	wta	pap	1870-wta-pap	1894	wta	ab	1894-wta-ab	TRUE	train	1870-wta-pap 1894-wta-ab	1	TRUE
1889	amd	amaae	1889-amd-amaae	1864	sw	toh	1864-sw-toh	FALSE	train	1889-amd-amaae 1864-sw-toh	0	TRUE
1896	wdh	tlatlh	1896-wdh-tlatlh	1903	wdh	qs	1903-wdh-qs	TRUE	train	1896-wdh-tlatlh 1903-wdh-qs	1	TRUE
1870	sw	wsc	1870-sw-wsc	1880	cfw	rtk	1880-cfw-rtk	FALSE	train	1870-sw-wsc 1880-cfw-rtk	0	TRUE
1894	mh	mwws	1894-mh-mwws	1913	amd	amc	1913-amd-amc	FALSE	train	1894-mh-mwws 1913-amd-amc	0	TRUE
1871	sw	o	1871-sw-o	1899	cdw	tf	1899-cdw-tf	FALSE	train	1871-sw-o 1899-cdw-tf	0	TRUE
1906	es	ha	1906-es-ha	1877	wdh	aca	1877-wdh-aca	FALSE	train	1906-es-ha 1877-wdh-aca	0	TRUE
1899	amd	thos	1899-amd-thos	1902	amd	algiod	1902-amd-algiod	TRUE	train	1899-amd-thos 1902-amd-algiod	1	TRUE
1895	wta	ai	1895-wta-ai	1902	wdh	tfotpb	1902-wdh-tfotpb	FALSE	train	1895-wta-ai 1902-wdh-tfotpb	0	TRUE
1911	rwc	j	1911-rwc-j	1870	mh	al	1870-mh-al	FALSE	train	1911-rwc-j 1870-mh-al	0	TRUE
1851	tsa	lilfawwrt	1851-tsa-lilfawwrt	1864	sw	toh-v2	1864-sw-toh-v2	FALSE	train	1851-tsa-lilfawwrt 1864-sw-toh-v2	0	TRUE
1870	amd	wfah	1870-amd-wfah	1906	amd	ael	1906-amd-ael	TRUE	train	1870-amd-wfah 1906-amd-ael	1	TRUE
1883	amd	wkm	1883-amd-wkm	1868	wta	dtr	1868-wta-dtr	FALSE	train	1883-amd-wkm 1868-wta-dtr	0	TRUE
1894	mt	tet	1894-mt-tet	1891	mt	tac	1891-mt-tac	TRUE	train	1894-mt-tet 1891-mt-tac	1	TRUE
1894	amd	iwrt	1894-amd-iwrt	1875	amd	da	1875-amd-da	TRUE	train	1894-amd-iwrt 1875-amd-da	1	TRUE
1914	rwc	a	1914-rwc-a	1917	ew	s	1917-ew-s	FALSE	train	1914-rwc-a 1917-ew-s	0	TRUE
1908	wdh	rhao	1908-wdh-rhao	1893	wdh	tcob	1893-wdh-tcob	TRUE	train	1908-wdh-rhao 1893-wdh-tcob	1	TRUE
1898	wdh	aoec	1898-wdh-aoec	1881	wdh	dbp	1881-wdh-dbp	TRUE	train	1898-wdh-aoec 1881-wdh-dbp	1	TRUE
1881	sw	aloc	1881-sw-aloc	1923	ga	bo	1923-ga-bo	FALSE	train	1881-sw-aloc 1923-ga-bo	0	TRUE
1898	amd	algiob	1898-amd-algiob	1894	es	e	1894-es-e	FALSE	train	1898-amd-algiob 1894-es-e	0	TRUE
1856	tsa	fan	1856-tsa-fan	1872	tsa	tyiamt	1872-tsa-tyiamt	TRUE	train	1856-tsa-fan 1872-tsa-tyiamt	1	TRUE
1909	amd	hgt	1909-amd-hgt	1866	amd	it	1866-amd-it	TRUE	train	1909-amd-hgt 1866-amd-it	1	TRUE
1889	mt	acyikac	1889-mt-acyikac	1873	mt	tga-c	1873-mt-tga-c	TRUE	train	1889-mt-acyikac 1873-mt-tga-c	1	TRUE
1897	mt	fte	1897-mt-fte	1907	mt	cs	1907-mt-cs	TRUE	train	1897-mt-fte 1907-mt-cs	1	TRUE
1861	sw	tcobh	1861-sw-tcobh	1879	sw	md	1879-sw-md	TRUE	train	1861-sw-tcobh 1879-sw-md	1	TRUE
1883	amd	fgh	1883-amd-fgh	1876	amd	nkk	1876-amd-nkk	TRUE	train	1883-amd-fgh 1876-amd-nkk	1	TRUE
1888	ga	wdmc	1888-ga-wdmc	1867	wta	saf	1867-wta-saf	FALSE	train	1888-ga-wdmc 1867-wta-saf	0	TRUE
1850	sw	www	1850-sw-www	1880	sw	teoac	1880-sw-teoac	TRUE	train	1850-sw-www 1880-sw-teoac	1	TRUE
1864	wta	waw	1864-wta-waw	1894	wta	its	1894-wta-its	TRUE	train	1864-wta-waw 1894-wta-its	1	TRUE
1851	tsa	ttw	1851-tsa-ttw	1852	tsa	trowww	1852-tsa-trowww	TRUE	train	1851-tsa-ttw 1852-tsa-trowww	1	TRUE
1877	sw	d	1877-sw-d	1903	amd	algiosl	1903-amd-algiosl	FALSE	train	1877-sw-d 1903-amd-algiosl	0	TRUE
1919	ga	ta	1919-ga-ta	1913	rwc	qa	1913-rwc-qa	FALSE	train	1919-ga-ta 1913-rwc-qa	0	TRUE
1914	amd	tgamm	1914-amd-tgamm	1896	wta	fye	1896-wta-fye	FALSE	train	1914-amd-tgamm 1896-wta-fye	0	TRUE
1852	sw	q	1852-sw-q	1895	cfw	daois	1895-cfw-daois	FALSE	train	1852-sw-q 1895-cfw-daois	0	TRUE
1913	amd	trhcag	1913-amd-trhcag	1870	amd	kar	1870-amd-kar	TRUE	train	1913-amd-trhcag 1870-amd-kar	1	TRUE
1860	sw	sas-v2-c	1860-sw-sas-v2-c	1871	wta	nl	1871-wta-nl	FALSE	train	1860-sw-sas-v2-c 1871-wta-nl	0	TRUE
1880	mt	ata	1880-mt-ata	1912	hm	tpoh	1912-hm-tpoh	FALSE	train	1880-mt-ata 1912-hm-tpoh	0	TRUE
1867	amd	sd	1867-amd-sd	1870	amd	ktw	1870-amd-ktw	TRUE	train	1867-amd-sd 1870-amd-ktw	1	TRUE
1884	amd	ootw	1884-amd-ootw	1879	wdh	tlofa	1879-wdh-tlofa	FALSE	train	1884-amd-ootw 1879-wdh-tlofa	0	TRUE
1901	rwc	c	1901-rwc-c	1915	rwc	wgt	1915-rwc-wgt	TRUE	train	1901-rwc-c 1915-rwc-wgt	1	TRUE
1913	wdh	fst	1913-wdh-fst	1897	wdh	soo	1897-wdh-soo	TRUE	train	1913-wdh-fst 1897-wdh-soo	1	TRUE
1860	sw	sas-c	1860-sw-sas-c	1902	rwc	tmop	1902-rwc-tmop	FALSE	train	1860-sw-sas-c 1902-rwc-tmop	0	TRUE
1922	hm	tre-ia	1922-hm-tre-ia	1880	mh	csith-nf	1880-mh-csith-nf	FALSE	train	1922-hm-tre-ia 1880-mh-csith-nf	0	TRUE
1889	wdh	ahonf-v1	1889-wdh-ahonf-v1	1884	wdh	trpsl	1884-wdh-trpsl	TRUE	train	1889-wdh-ahonf-v1 1884-wdh-trpsl	1	TRUE
1856	sw	hots	1856-sw-hots	1877	sw	pn	1877-sw-pn	TRUE	train	1856-sw-hots 1877-sw-pn	1	TRUE
1908	ga	tgi	1908-ga-tgi	1898	ga	tvr	1898-ga-tvr	TRUE	train	1908-ga-tgi 1898-ga-tvr	1	TRUE
1908	amd	algios	1908-amd-algios	1915	rwc	tgp	1915-rwc-tgp	FALSE	train	1908-amd-algios 1915-rwc-tgp	0	TRUE
1850	sw	www-v2	1850-sw-www-v2	1909	hm	tgg	1909-hm-tgg	FALSE	train	1850-sw-www-v2 1909-hm-tgg	0	TRUE
1871	wdh	ss	1871-wdh-ss	1908	wdh	far	1908-wdh-far	TRUE	train	1871-wdh-ss 1908-wdh-far	1	TRUE
1876	mt	taots	1876-mt-taots	1892	es	ip	1892-es-ip	FALSE	train	1876-mt-taots 1892-es-ip	0	TRUE
1910	wdh	ii	1910-wdh-ii	1860	wta	lbl	1860-wta-lbl	FALSE	train	1910-wdh-ii 1860-wta-lbl	0	TRUE
1889	ga	hs	1889-ga-hs	1921	ga	sil	1921-ga-sil	TRUE	train	1889-ga-hs 1921-ga-sil	1	TRUE
1874	amd	sd	1874-amd-sd	1912	amd	tcitlorh	1912-amd-tcitlorh	TRUE	train	1874-amd-sd 1912-amd-tcitlorh	1	TRUE
1871	wta	utb	1871-wta-utb	1875	mh	blat-nf	1875-mh-blat-nf	FALSE	train	1871-wta-utb 1875-mh-blat-nf	0	TRUE
1877	sw	pn-?	1877-sw-pn-?	1914	hm	taok	1914-hm-taok	FALSE	train	1877-sw-pn-? 1914-hm-taok	0	TRUE
1907	amd	hgs	1907-amd-hgs	1897	amd	ha	1897-amd-ha	TRUE	train	1907-amd-hgs 1897-amd-ha	1	TRUE
1876	wta	ltf	1876-wta-ltf	1890	tsa	absal	1890-tsa-absal	FALSE	train	1876-wta-ltf 1890-tsa-absal	0	TRUE
1889	wdh	ahonf-v2	1889-wdh-ahonf-v2	1907	ga	a	1907-ga-a	FALSE	train	1889-wdh-ahonf-v2 1907-ga-a	0	TRUE
1867	wdh	vl	1867-wdh-vl	1899	wdh	arl	1899-wdh-arl	TRUE	train	1867-wdh-vl 1899-wdh-arl	1	TRUE
1887	wdh	ah	1887-wdh-ah	1907	wdh	btdatd	1907-wdh-btdatd	TRUE	train	1887-wdh-ah 1907-wdh-btdatd	1	TRUE
1892	wta	fftr	1892-wta-fftr	1884	mh	mhcfb-nf	1884-mh-mhcfb-nf	FALSE	train	1892-wta-fftr 1884-mh-mhcfb-nf	0	TRUE
1896	rwc	tmoc	1896-rwc-tmoc	1907	rwc	tys	1907-rwc-tys	TRUE	train	1896-rwc-tmoc 1907-rwc-tys	1	TRUE
1893	ga	td	1893-ga-td	1917	ga	tlp	1917-ga-tlp	TRUE	train	1893-ga-td 1917-ga-tlp	1	TRUE
1853	tsa	fpotwol	1853-tsa-fpotwol	1912	rwc	tbol	1912-rwc-tbol	FALSE	train	1853-tsa-fpotwol 1912-rwc-tbol	0	TRUE
1868	sw	d	1868-sw-d	1858	tsa	thbnth	1858-tsa-thbnth	FALSE	train	1868-sw-d 1858-tsa-thbnth	0	TRUE
1909	wdh	sec	1909-wdh-sec	1900	ga	sn	1900-ga-sn	FALSE	train	1909-wdh-sec 1900-ga-sn	0	TRUE
1882	cfw	a	1882-cfw-a	1873	cfw	tosh	1873-cfw-tosh	TRUE	train	1882-cfw-a 1873-cfw-tosh	1	TRUE
1852	tsa	hhalp	1852-tsa-hhalp	1890	amd	algiop	1890-amd-algiop	FALSE	train	1852-tsa-hhalp 1890-amd-algiop	0	TRUE
1905	amd	algiosf	1905-amd-algiosf	1871	amd	hd	1871-amd-hd	TRUE	train	1905-amd-algiosf 1871-amd-hd	1	TRUE
1859	tsa	lg	1859-tsa-lg	1909	mt	efcsvth	1909-mt-efcsvth	FALSE	train	1859-tsa-lg 1909-mt-efcsvth	0	TRUE
1895	rwc	tkiy	1895-rwc-tkiy	1905	hm	ham-sh	1905-hm-ham-sh	FALSE	train	1895-rwc-tkiy 1905-hm-ham-sh	0	TRUE
1867	wta	ba	1867-wta-ba	1876	sw	wh-c	1876-sw-wh-c	FALSE	train	1867-wta-ba 1876-sw-wh-c	0	TRUE
1851	tsa	wftw	1851-tsa-wftw	1880	lma	jaj	1880-lma-jaj	FALSE	train	1851-tsa-wftw 1880-lma-jaj	0	TRUE
1866	wta	hah	1866-wta-hah	1896	wta	tbc-r	1896-wta-tbc-r	TRUE	train	1866-wta-hah 1896-wta-tbc-r	1	TRUE
1879	amd	hm	1879-amd-hm	1897	amd	hpitw	1897-amd-hpitw	TRUE	train	1879-amd-hm 1897-amd-hpitw	1	TRUE
1901	wdh	apopl	1901-wdh-apopl	1915	hm	tvitf	1915-hm-tvitf	FALSE	train	1901-wdh-apopl 1915-hm-tvitf	0	TRUE
1870	wta	dad	1870-wta-dad	1866	wta	haw	1866-wta-haw	TRUE	train	1870-wta-dad 1866-wta-haw	1	TRUE
1880	cdw	mwotn	1880-cdw-mwotn	1868	tsa	aasaos	1868-tsa-aasaos	FALSE	train	1880-cdw-mwotn 1868-tsa-aasaos	0	TRUE
1905	ga	ttt	1905-ga-ttt	1904	amd	algic	1904-amd-algic	FALSE	train	1905-ga-ttt 1904-amd-algic	0	TRUE
1865	tsa	nbm	1865-tsa-nbm	1894	rwc	itq	1894-rwc-itq	FALSE	train	1865-tsa-nbm 1894-rwc-itq	0	TRUE
1893	wta	avu	1893-wta-avu	1856	wta	non	1856-wta-non	TRUE	train	1893-wta-avu 1856-wta-non	1	TRUE
1877	tsa	tsatu	1877-tsa-tsatu	1852	tsa	ml	1852-tsa-ml	TRUE	train	1877-tsa-tsatu 1852-tsa-ml	1	TRUE
1895	cfw	tfyaois	1895-cfw-tfyaois	1868	wta	osb	1868-wta-osb	FALSE	train	1895-cfw-tfyaois 1868-wta-osb	0	TRUE
1875	tsa	dowithoaf	1875-tsa-dowithoaf	1909	es	dotr	1909-es-dotr	FALSE	train	1875-tsa-dowithoaf 1909-es-dotr	0	TRUE
1864	sw	mh	1864-sw-mh	1871	sw	thit	1871-sw-thit	TRUE	train	1864-sw-mh 1871-sw-thit	1	TRUE
1907	hm	tbm	1907-hm-tbm	1884	lma	sws	1884-lma-sws	FALSE	train	1907-hm-tbm 1884-lma-sws	0	TRUE
1906	rwc	tfc	1906-rwc-tfc	1919	rwc	tct	1919-rwc-tct	TRUE	train	1906-rwc-tfc 1919-rwc-tct	1	TRUE
1884	es	b	1884-es-b	1889	lma	ll-v3	1889-lma-ll-v3	FALSE	train	1884-es-b 1889-lma-ll-v3	0	TRUE
